903   0.000000 __libc_start_main(0x401f50, 2, 0x7fff89dd5dc8, 0x406b90, 0x406c20 <unfinished ...>
903   0.000093 getenv("_JAVA_LAUNCHER_DEBUG")                                                                   = NULL
903   0.000137 getenv("_JAVA_VERSION_SET")                                                                      = NULL
903   0.000086 JLI_MemAlloc(24, 0x7fff89dd5dc8, 8, 95, 0x406c20)                                                = 0x1fc3010
903   0.000157 JLI_FreeManifest(0, 0x1fc3020, 0x7fff89dd5dd0, 0, 3)                                             = 0x7fff89dd7dee
903   0.000073 JLI_MemFree(0x1fc3010, 0x1fc3020, 0x7fff89dd5dd0, 0, 3)                                          = 0
903   0.000078 JLI_MemAlloc(24, 0xffffffff, 0, 0x7f82ea0a0728, 3)                                               = 0x1fc3010
903   0.000189 readlink(0x4077db, 0x7fff89dd1a00, 4096, 4096, 0x7fff89dd4ca0)                                   = 46
903   0.000158 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                       = -18
903   0.000075 strlen("/persistmnt/")                                                                           = 12
903   0.000070 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                               = -5
903   0.000066 strlen("/rofs/")                                                                                 = 6
903   0.000059 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
903   0.000066 strlen("/rwfs/")                                                                                 = 6
903   0.000059 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
903   0.000063 strlen("/squashmnt/")                                                                            = 11
903   0.000061 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                                = -2
903   0.000064 JLI_StringDup(0x7fff89dd1a00, 0x7fff89dd1a00, 1, 117, 65535)                                     = 0x1fc3030
903   0.000078 JLI_MemAlloc(24, 0x7fff89dd1a2f, 0x7fff89dd2bcc, 0x6176616a2f6e69, 0x76616a2f6d766a2f)           = 0x1fc3070
903   0.000073 strncpy(0x7fff89dd3ca0, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                             = 0x7fff89dd3ca0
903   0.000074 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/java"
903   0.000068 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 41
903   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
903   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
903   0.000064 __sprintf_chk(0x7fff89dd1a10, 1, 4096, 0x40788e, 0x7fff89dd3ca0)                                 = 58
903   0.000089 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                 = 0
903   0.000092 __strcpy_chk(0x7fff89dd09d0, 0x7fff89dd3ca0, 4126, -1, 0x7fff89dd1a3f)                           = 0x7fff89dd09d0
903   0.000084 __strcat_chk(0x7fff89dd09d0, 0x407230, 4126, 0, 0xfefefefefefefeff)                              = 0x7fff89dd09d0
903   0.000072 __strcat_chk(0x7fff89dd09d0, 0x407811, 4126, 0, 0x7fff89dd09f4)                                  = 0x7fff89dd09d0
903   0.000068 __strcat_chk(0x7fff89dd09d0, 0x407236, 4126, 0, 0x7fff89dd09f9)                                  = 0x7fff89dd09d0
903   0.000068 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                                = 0x1fc3090
903   0.000108 fgets("", -359743415, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000124 fgets("", -359743351, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359743349, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000074 fgets("", -359743278, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359743207, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359743138, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359743068, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359743008, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000080 fgets("", -359743006, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000067 fgets("", -359742931, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359742859, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742787, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359742713, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742687, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742685, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742609, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742536, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359742472, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359742470, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742396, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742323, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742310, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742308, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742305, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742239, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000063 fgets("", -359742176, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 fgets("", -359742109, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359742073, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000116 fgets("", -359742071, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000073 fgets("", -359742009, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000138 fgets("", -359741949, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000067 fgets("", -359741901, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359741899, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000064 fgets("", -359741885, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000063 JLI_MemAlloc(320, 0x7f82ea8ec643, 0, 0x7fff89dd19f0, 1)                                          = 0x1fc32d0
903   0.000080 JLI_MemFree(0, 134464, 0x7f82ea0a0720, 0x400000, 3)                                              = 0
903   0.000074 strcspn("-server KNOWN", " \t")                                                                  = 7
903   0.000074 strspn("KNOWN", " \t")                                                                           = 0
903   0.000114 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fd, 0x1fc32d0, 0, 0)                                   = 0x1fc3420
903   0.000116 fgets("", -359741870, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000113 strcspn("-client IGNORE", " \t")                                                                 = 7
903   0.000082 strspn("IGNORE", " \t")                                                                          = 0
903   0.000060 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fe, 0x1fc32f0, 0, 0)                                   = 0x1fc3440
903   0.000069 fgets("", -359741855, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000065 strcspn("-hotspot ERROR", " \t")                                                                 = 8
903   0.000059 strspn("ERROR", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fe, 0x1fc3310, 0, 0)                                   = 0x1fc3460
903   0.000065 fgets("", -359741841, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000063 strcspn("-classic WARN", " \t")                                                                  = 8
903   0.000058 strspn("WARN", " \t")                                                                            = 0
903   0.000056 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fd, 0x1fc3330, 0, 0)                                   = 0x1fc3480
903   0.000066 fgets("", -359741827, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000062 strcspn("-native ERROR", " \t")                                                                  = 7
903   0.000058 strspn("ERROR", " \t")                                                                           = 0
903   0.000081 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fd, 0x1fc3350, 0, 0)                                   = 0x1fc34a0
903   0.000069 fgets("", -359741814, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000113 strcspn("-green ERROR", " \t")                                                                   = 6
903   0.000079 strspn("ERROR", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fc, 0x1fc3370, 0, 0)                                   = 0x1fc34c0
903   0.000067 fgets("", -359741801, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000062 strcspn("-jamvm KNOWN", " \t")                                                                   = 6
903   0.000059 strspn("KNOWN", " \t")                                                                           = 0
903   0.000056 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fc, 0x1fc3390, 0, 0)                                   = 0x1fc34e0
903   0.000066 fgets("", -359741788, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000062 strcspn("-cacao KNOWN", " \t")                                                                   = 6
903   0.000057 strspn("KNOWN", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fc, 0x1fc33b0, 0, 0)                                   = 0x1fc3500
903   0.000065 fgets("", -359741776, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000062 strcspn("-zero KNOWN", " \t")                                                                    = 5
903   0.000066 strspn("KNOWN", " \t")                                                                           = 0
903   0.000058 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fb, 0x1fc33d0, 0, 0)                                   = 0x1fc3520
903   0.000066 fgets("", -359741763, 0x1fc3170)                                                                 = 0x7fff89dd19f0
903   0.000063 strcspn("-shark ERROR", " \t")                                                                   = 6
903   0.000058 strspn("ERROR", " \t")                                                                           = 0
903   0.000057 JLI_StringDup(0x7fff89dd19f0, 0x7fff89dd19fc, 0x1fc33f0, 0, 0)                                   = 0x1fc3540
903   0.000066 fgets("\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377"..., -359743488, 0x1fc3170) = NULL
903   0.000091 fclose(0x1fc3090)                                                                                = 0
903   0.000144 getenv("JDK_ALTERNATE_VM")                                                                       = NULL
903   0.000064 JLI_MemAlloc(24, 0xffffff80, 7, 74, 0x7f82ea8e2700)                                              = 0x1fc3090
903   0.000070 strchr("server", '/')                                                                            = NULL
903   0.000064 __sprintf_chk(0x7fff89dd4ca0, 1, -1, 0x4078da, 0x7fff89dd3ca0)                                   = 64
903   0.000068 __xstat(1, "/usr/lib/jvm/java-6-openjdk-amd6"..., 0x7fff89dd2ab0)                                = 0
903   0.000085 getenv("LD_LIBRARY_PATH")                                                                        = NULL
903   0.000059 getgid()                                                                                         = 1000
903   0.000068 getegid()                                                                                        = 1000
903   0.000086 getuid()                                                                                         = 1000
903   0.000146 geteuid()                                                                                        = 1000
903   0.000093 JLI_StringDup(0x7fff89dd4ca0, 0x7fff89dd2ab0, 15, -1, 0x7fff89dd4cd6)                            = 0x1fc30b0
903   0.000069 strlen("amd64")                                                                                  = 5
903   0.000059 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 37
903   0.000061 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 64
903   0.000062 JLI_MemAlloc(200, 0x7fff89dd4ce1, 0, 48, 0x2f3436646d612f62)                                     = 0x1fc3100
903   0.000069 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/libjvm.so"
