454   0.000000 __libc_start_main(0x401f50, 2, 0x7fff637b0c48, 0x406b90, 0x406c20 <unfinished ...>
454   0.000121 getenv("_JAVA_LAUNCHER_DEBUG")                                                                   = NULL
454   0.000089 getenv("_JAVA_VERSION_SET")                                                                      = NULL
454   0.000070 JLI_MemAlloc(24, 0x7fff637b0c48, 8, 95, 0x406c20)                                                = 0x19d3010
454   0.000161 JLI_FreeManifest(0, 0x19d3020, 0x7fff637b0c50, 0, 3)                                             = 0x7fff637b1d8d
454   0.000075 JLI_MemFree(0x19d3010, 0x19d3020, 0x7fff637b0c50, 0, 3)                                          = 0
454   0.000081 JLI_MemAlloc(24, 0xffffffff, 0, 0x7f50545d1728, 3)                                               = 0x19d3010
454   0.000096 readlink(0x4077db, 0x7fff637ac880, 4096, 4096, 0x7fff637afb20)                                   = 46
454   0.000129 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                       = -18
454   0.000089 strlen("/persistmnt/")                                                                           = 12
454   0.000093 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                               = -5
454   0.000066 strlen("/rofs/")                                                                                 = 6
454   0.000059 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
454   0.000065 strlen("/rwfs/")                                                                                 = 6
454   0.000059 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
454   0.000064 strlen("/squashmnt/")                                                                            = 11
454   0.000059 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                                = -2
454   0.000064 JLI_StringDup(0x7fff637ac880, 0x7fff637ac880, 1, 117, 65535)                                     = 0x19d3030
454   0.000094 JLI_MemAlloc(24, 0x7fff637ac8af, 0x7fff637ada4c, 0x6176616a2f6e69, 0x76616a2f6d766a2f)           = 0x19d3070
454   0.000076 strncpy(0x7fff637aeb20, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                             = 0x7fff637aeb20
454   0.000075 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/java"
454   0.000068 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 41
454   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
454   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
454   0.000064 __sprintf_chk(0x7fff637ac890, 1, 4096, 0x40788e, 0x7fff637aeb20)                                 = 58
454   0.000090 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                 = 0
