15574   0.000000 __libc_start_main(0x400898, 1, 0x7fff2a4909a8, 0x400940, 0x4009d0 <unfinished ...>
15574   0.000079 _ZNSt8ios_base4InitC1Ev(0x601174, 65535, 0x7fff2a4909b8, 128, 0x4009d0)                        = 0
15574   0.000184 __cxa_atexit(0x400740, 0x601174, 0x601048, 0x7fff2a490780, 0x7f13878c2660)                     = 0
15574   0.000080 _ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc(0x601060, 0x4009e5, 0x7fff2a4909b8, 160, 0x7f13878c2660) = 0x601060
15574   0.000145 _ZNSolsEi(0x601060, 0, 0x601060, 1024, 0x7f13875aca90)                                         = 0x601060
15574   0.000107 _ZNSolsEPFRSoS_E(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90 <unfinished ...>
15574   0.000078 _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90) = 0x601060
15574   0.000221 _ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc(0x601060, 0x4009e5, 0, -1, 0x7f1387ad7740) = 0x601060
15574   0.000075 _ZNSolsEi(0x601060, 1, 0x601060, 0x7469206d6f726620, 0x7f13875aca90)                           = 0x601060
15574   0.000071 _ZNSolsEPFRSoS_E(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90 <unfinished ...>
15574   0.000046 _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90) = 0x601060
15574   0.000179 _ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc(0x601060, 0x4009e5, 0, -1, 0x7f1387ad7740) = 0x601060
15574   0.000093 _ZNSolsEi(0x601060, 2, 0x601060, 0x7469206d6f726620, 0x7f13875aca90)                           = 0x601060
15574   0.000072 _ZNSolsEPFRSoS_E(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90 <unfinished ...>
15574   0.000046 _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90) = 0x601060
15574   0.000161 _ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc(0x601060, 0x4009e5, 0, -1, 0x7f1387ad7740) = 0x601060
15574   0.000098 _ZNSolsEi(0x601060, 3, 0x601060, 0x7469206d6f726620, 0x7f13875aca90)                           = 0x601060
15574   0.000084 _ZNSolsEPFRSoS_E(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90 <unfinished ...>
15574   0.000047 _ZSt4endlIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_(0x601060, 0x400770, 0x7f13878bcb10, 0, 0x7f13875aca90) = 0x601060
15574   0.000154 _ZNSt8ios_base4InitD1Ev(0x601174, 0, 0x7f13875abff0, 4, 0x7f1387ad7740)                        = 0x7f13878c1440
15574   0.000206 +++ exited (status 0) +++
