20845   0.000000 __libc_start_main(0x401f50, 2, 0x7fff5af84578, 0x406b90, 0x406c20 <unfinished ...>
20845   0.000093 getenv("_JAVA_LAUNCHER_DEBUG")                                                                 = NULL
20845   0.000088 getenv("_JAVA_VERSION_SET")                                                                    = NULL
20845   0.000068 JLI_MemAlloc(24, 0x7fff5af84578, 8, 95, 0x406c20)                                              = 0x137a010
20845   0.000157 JLI_FreeManifest(0, 0x137a020, 0x7fff5af84580, 0, 3)                                           = 0x7fff5af85dd1
20845   0.000075 JLI_MemFree(0x137a010, 0x137a020, 0x7fff5af84580, 0, 3)                                        = 0
20845   0.000078 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fdddc341728, 3)                                             = 0x137a010
20845   0.000081 readlink(0x4077db, 0x7fff5af801b0, 4096, 4096, 0x7fff5af83450)                                 = 46
20845   0.000126 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                     = -18
20845   0.000075 strlen("/persistmnt/")                                                                         = 12
20845   0.000068 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                             = -5
20845   0.000065 strlen("/rofs/")                                                                               = 6
20845   0.000058 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20845   0.000064 strlen("/rwfs/")                                                                               = 6
20845   0.000059 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20845   0.000063 strlen("/squashmnt/")                                                                          = 11
20845   0.000058 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                              = -2
20845   0.000064 JLI_StringDup(0x7fff5af801b0, 0x7fff5af801b0, 1, 117, 65535)                                   = 0x137a030
20845   0.000079 JLI_MemAlloc(24, 0x7fff5af801df, 0x7fff5af8137c, 0x6176616a2f6e69, 0x76616a2f6d766a2f)         = 0x137a070
20845   0.000076 strncpy(0x7fff5af82450, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                           = 0x7fff5af82450
20845   0.000080 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/java"
20845   0.000067 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 41
20845   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20845   0.000063 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20845   0.000063 __sprintf_chk(0x7fff5af801c0, 1, 4096, 0x40788e, 0x7fff5af82450)                               = 58
20845   0.000087 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                               = 0
20845   0.000092 __strcpy_chk(0x7fff5af7f180, 0x7fff5af82450, 4126, -1, 0x7fff5af801ef)                         = 0x7fff5af7f180
20845   0.000085 __strcat_chk(0x7fff5af7f180, 0x407230, 4126, 0, 0xfefefefefefefeff)                            = 0x7fff5af7f180
20845   0.000073 __strcat_chk(0x7fff5af7f180, 0x407811, 4126, 0, 0x7fff5af7f1a4)                                = 0x7fff5af7f180
20845   0.000069 __strcat_chk(0x7fff5af7f180, 0x407236, 4126, 0, 0x7fff5af7f1a9)                                = 0x7fff5af7f180
20845   0.000069 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                              = 0x137a090
20845   0.000108 fgets("", -591867831, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000126 fgets("", -591867767, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000065 fgets("", -591867765, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000071 fgets("", -591867694, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000066 fgets("", -591867623, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000158 fgets("", -591867554, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000066 fgets("", -591867484, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591867424, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591867422, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867347, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867275, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867203, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867129, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867103, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591867101, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591867025, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591866952, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866888, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866886, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866812, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591866739, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866726, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591866724, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866721, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866655, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866592, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866525, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591866489, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866487, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866425, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 fgets("", -591866365, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000062 fgets("", -591866317, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 fgets("", -591866315, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000062 fgets("", -591866301, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 JLI_MemAlloc(320, 0x7fdddcb8d643, 0, 0x7fff5af801a0, 1)                                        = 0x137a2d0
20845   0.000082 JLI_MemFree(0, 134464, 0x7fdddc341720, 0x400000, 3)                                            = 0
20845   0.000075 strcspn("-server KNOWN", " \t")                                                                = 7
20845   0.000069 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000063 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ad, 0x137a2d0, 0, 0)                                 = 0x137a420
20845   0.000072 fgets("", -591866286, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000065 strcspn("-client IGNORE", " \t")                                                               = 7
20845   0.000060 strspn("IGNORE", " \t")                                                                        = 0
20845   0.000058 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ae, 0x137a2f0, 0, 0)                                 = 0x137a440
20845   0.000085 fgets("", -591866271, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000066 strcspn("-hotspot ERROR", " \t")                                                               = 8
20845   0.000059 strspn("ERROR", " \t")                                                                         = 0
20845   0.000058 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ae, 0x137a310, 0, 0)                                 = 0x137a460
20845   0.000070 fgets("", -591866257, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000064 strcspn("-classic WARN", " \t")                                                                = 8
20845   0.000059 strspn("WARN", " \t")                                                                          = 0
20845   0.000057 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ad, 0x137a330, 0, 0)                                 = 0x137a480
20845   0.000101 fgets("", -591866243, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000068 strcspn("-native ERROR", " \t")                                                                = 7
20845   0.000059 strspn("ERROR", " \t")                                                                         = 0
20845   0.000058 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ad, 0x137a350, 0, 0)                                 = 0x137a4a0
20845   0.000070 fgets("", -591866230, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 strcspn("-green ERROR", " \t")                                                                 = 6
20845   0.000057 strspn("ERROR", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ac, 0x137a370, 0, 0)                                 = 0x137a4c0
20845   0.000068 fgets("", -591866217, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 strcspn("-jamvm KNOWN", " \t")                                                                 = 6
20845   0.000057 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000055 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ac, 0x137a390, 0, 0)                                 = 0x137a4e0
20845   0.000068 fgets("", -591866204, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000062 strcspn("-cacao KNOWN", " \t")                                                                 = 6
20845   0.000069 strspn("KNOWN", " \t")                                                                         = 0
20845   0.000088 JLI_StringDup(0x7fff5af801a0, 0x7fff5af801ac, 0x137a3b0, 0, 0)                                 = 0x137a500
20845   0.000071 fgets("", -591866192, 0x137a170)                                                               = 0x7fff5af801a0
20845   0.000063 strcspn("-zero KNOWN", " \t")                                                                  = 5
20845   0.000066 strspn("KNOWN", " \t")                                                                         = 0
