849   0.000000 __libc_start_main(0x401f50, 2, 0x7fff1fd2cc98, 0x406b90, 0x406c20 <unfinished ...>
849   0.000099 getenv("_JAVA_LAUNCHER_DEBUG")                                                                   = NULL
849   0.000088 getenv("_JAVA_VERSION_SET")                                                                      = NULL
849   0.000070 JLI_MemAlloc(24, 0x7fff1fd2cc98, 8, 95, 0x406c20)                                                = 0x2010010
849   0.000159 JLI_FreeManifest(0, 0x2010020, 0x7fff1fd2cca0, 0, 3)                                             = 0x7fff1fd2edd1
849   0.000075 JLI_MemFree(0x2010010, 0x2010020, 0x7fff1fd2cca0, 0, 3)                                          = 0
849   0.000079 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fcdbc85c728, 3)                                               = 0x2010010
849   0.000080 readlink(0x4077db, 0x7fff1fd288d0, 4096, 4096, 0x7fff1fd2bb70)                                   = 46
849   0.000125 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                       = -18
849   0.000076 strlen("/persistmnt/")                                                                           = 12
849   0.000069 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                               = -5
849   0.000067 strlen("/rofs/")                                                                                 = 6
849   0.000060 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
849   0.000066 strlen("/rwfs/")                                                                                 = 6
849   0.000060 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                      = -3
849   0.000065 strlen("/squashmnt/")                                                                            = 11
849   0.000061 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                                = -2
849   0.000066 JLI_StringDup(0x7fff1fd288d0, 0x7fff1fd288d0, 1, 117, 65535)                                     = 0x2010030
849   0.000079 JLI_MemAlloc(24, 0x7fff1fd288ff, 0x7fff1fd29a9c, 0x6176616a2f6e69, 0x76616a2f6d766a2f)           = 0x2010070
849   0.000076 strncpy(0x7fff1fd2ab70, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                             = 0x7fff1fd2ab70
849   0.000074 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/java"
849   0.000069 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                    = 41
849   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
849   0.000065 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                              = "/bin"
849   0.000065 __sprintf_chk(0x7fff1fd288e0, 1, 4096, 0x40788e, 0x7fff1fd2ab70)                                 = 58
849   0.000090 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                 = 0
849   0.000093 __strcpy_chk(0x7fff1fd278a0, 0x7fff1fd2ab70, 4126, -1, 0x7fff1fd2890f)                           = 0x7fff1fd278a0
849   0.000086 __strcat_chk(0x7fff1fd278a0, 0x407230, 4126, 0, 0xfefefefefefefeff)                              = 0x7fff1fd278a0
849   0.000074 __strcat_chk(0x7fff1fd278a0, 0x407811, 4126, 0, 0x7fff1fd278c4)                                  = 0x7fff1fd278a0
849   0.000071 __strcat_chk(0x7fff1fd278a0, 0x407236, 4126, 0, 0x7fff1fd278c9)                                  = 0x7fff1fd278a0
849   0.000070 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                                = 0x2010090
849   0.000111 fgets("", -1123385271, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000125 fgets("", -1123385207, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000066 fgets("", -1123385205, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000074 fgets("", -1123385134, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000066 fgets("", -1123385063, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384994, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384924, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384864, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384862, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000063 fgets("", -1123384787, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384715, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384643, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384569, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384543, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000101 fgets("", -1123384541, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000085 fgets("", -1123384465, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000066 fgets("", -1123384392, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000063 fgets("", -1123384328, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384326, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384252, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384179, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384166, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384164, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384161, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000064 fgets("", -1123384095, 0x2010170)                                                                = 0x7fff1fd288c0
849   0.000065 fgets("", -1123384032, 0x2010170)                                                                = 0x7fff1fd288c0
