7077   0.000000 __libc_start_main(0x401f50, 2, 0x7fff86b7a4c8, 0x406b90, 0x406c20 <unfinished ...>
7077   0.000149 getenv("_JAVA_LAUNCHER_DEBUG")                                                                  = NULL
7077   0.000149 getenv("_JAVA_VERSION_SET")                                                                     = NULL
7077   0.000122 JLI_MemAlloc(24, 0x7fff86b7a4c8, 8, 95, 0x406c20)                                               = 0xab6010
7077   0.000250 JLI_FreeManifest(0, 0xab6020, 0x7fff86b7a4d0, 0, 3)                                             = 0x7fff86b7add1
7077   0.000128 JLI_MemFree(0xab6010, 0xab6020, 0x7fff86b7a4d0, 0, 3)                                           = 0
7077   0.000138 JLI_MemAlloc(24, 0xffffffff, 0, 0x7f228c351728, 3)                                              = 0xab6010
7077   0.000136 readlink(0x4077db, 0x7fff86b76100, 4096, 4096, 0x7fff86b793a0)                                  = 46
7077   0.000249 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                      = -18
7077   0.000142 strlen("/persistmnt/")                                                                          = 12
7077   0.000126 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                              = -5
7077   0.000123 strlen("/rofs/")                                                                                = 6
7077   0.000112 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                     = -3
7077   0.000127 strlen("/rwfs/")                                                                                = 6
7077   0.000118 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                     = -3
7077   0.000157 strlen("/squashmnt/")                                                                           = 11
7077   0.000119 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                               = -2
7077   0.000128 JLI_StringDup(0x7fff86b76100, 0x7fff86b76100, 1, 117, 65535)                                    = 0xab6030
7077   0.000139 JLI_MemAlloc(24, 0x7fff86b7612f, 0x7fff86b772cc, 0x6176616a2f6e69, 0x76616a2f6d766a2f)          = 0xab6070
7077   0.000130 strncpy(0x7fff86b783a0, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                            = 0x7fff86b783a0
7077   0.000146 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/java"
7077   0.000125 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                   = 41
7077   0.000126 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/bin"
7077   0.000128 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                             = "/bin"
7077   0.000121 __sprintf_chk(0x7fff86b76110, 1, 4096, 0x40788e, 0x7fff86b783a0)                                = 58
7077   0.000140 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                                = 0
7077   0.000161 __strcpy_chk(0x7fff86b750d0, 0x7fff86b783a0, 4126, -1, 0x7fff86b7613f)                          = 0x7fff86b750d0
7077   0.000136 __strcat_chk(0x7fff86b750d0, 0x407230, 4126, 0, 0xfefefefefefefeff)                             = 0x7fff86b750d0
7077   0.000122 __strcat_chk(0x7fff86b750d0, 0x407811, 4126, 0, 0x7fff86b750f4)                                 = 0x7fff86b750d0
7077   0.000117 __strcat_chk(0x7fff86b750d0, 0x407236, 4126, 0, 0x7fff86b750f9)                                 = 0x7fff86b750d0
7077   0.000116 fopen("/usr/lib/jvm/java-6-openjdk-amd6"..., "r")                                               = 0xab6090
7077   0.000187 fgets("", -1933979575, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000217 fgets("", -1933979511, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000115 fgets("", -1933979509, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000122 fgets("", -1933979438, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000114 fgets("", -1933979367, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000104 fgets("", -1933979298, 0xab6170)                                                                = 0x7fff86b760f0
7077   0.000100 fgets("", -1933979228, 0xab6170)                                                                = 0x7fff86b760f0
