20973   0.000000 __libc_start_main(0x401f50, 2, 0x7fffacba4bc8, 0x406b90, 0x406c20 <unfinished ...>
20973   0.000093 getenv("_JAVA_LAUNCHER_DEBUG")                                                                 = NULL
20973   0.000089 getenv("_JAVA_VERSION_SET")                                                                    = NULL
20973   0.000068 JLI_MemAlloc(24, 0x7fffacba4bc8, 8, 95, 0x406c20)                                              = 0x6f3010
20973   0.000157 JLI_FreeManifest(0, 0x6f3020, 0x7fffacba4bd0, 0, 3)                                            = 0x7fffacba4dcd
20973   0.000074 JLI_MemFree(0x6f3010, 0x6f3020, 0x7fffacba4bd0, 0, 3)                                          = 0
20973   0.000080 JLI_MemAlloc(24, 0xffffffff, 0, 0x7fd77fc43728, 3)                                             = 0x6f3010
20973   0.000082 readlink(0x4077db, 0x7fffacba0800, 4096, 4096, 0x7fffacba3aa0)                                 = 46
20973   0.000190 strncmp("/cow/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 5)                                     = -18
20973   0.000077 strlen("/persistmnt/")                                                                         = 12
20973   0.000069 strncmp("/persistmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 12)                             = -5
20973   0.000065 strlen("/rofs/")                                                                               = 6
20973   0.000059 strncmp("/rofs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20973   0.000065 strlen("/rwfs/")                                                                               = 6
20973   0.000059 strncmp("/rwfs/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 6)                                    = -3
20973   0.000064 strlen("/squashmnt/")                                                                          = 11
20973   0.000060 strncmp("/squashmnt/", "/usr/lib/jvm/java-6-openjdk-amd6"..., 11)                              = -2
20973   0.000064 JLI_StringDup(0x7fffacba0800, 0x7fffacba0800, 1, 117, 65535)                                   = 0x6f3030
20973   0.000079 JLI_MemAlloc(24, 0x7fffacba082f, 0x7fffacba19cc, 0x6176616a2f6e69, 0x76616a2f6d766a2f)         = 0x6f3070
20973   0.000076 strncpy(0x7fffacba2aa0, "/usr/lib/jvm/java-6-openjdk-amd6"..., 4095)                           = 0x7fffacba2aa0
20973   0.000075 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/java"
20973   0.000068 strlen("/usr/lib/jvm/java-6-openjdk-amd6"...)                                                  = 41
20973   0.000064 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20973   0.000063 strrchr("/usr/lib/jvm/java-6-openjdk-amd6"..., '/')                                            = "/bin"
20973   0.000063 __sprintf_chk(0x7fffacba0810, 1, 4096, 0x40788e, 0x7fffacba2aa0)                               = 58
20973   0.000091 access("/usr/lib/jvm/java-6-openjdk-amd6"..., 0)                                               = 0
20973   0.000093 __strcpy_chk(0x7fffacb9f7d0, 0x7fffacba2aa0, 4126, -1, 0x7fffacba083f)                         = 0x7fffacb9f7d0
20973   0.000086 __strcat_chk(0x7fffacb9f7d0, 0x407230, 4126, 0, 0xfefefefefefefeff)                            = 0x7fffacb9f7d0
